Codigo,Sigla,Nome,Regente,sigla_grau,icursocod,nvcepocaexame
41948,AC-I,Arquitectura de Computadores I,António Rui de Oliveira e Silva Borges,MI,"[8309, 8316, 8321, 8240]",1º SEMESTRE
41949,RC-II,Redes de Comunicações II,Paulo Jorge Salvador Serra Ferreira,MI,"[8316, 8240]",2º SEMESTRE
41950,RC-I ,Redes de Comunicações I,Paulo Jorge Salvador Serra Ferreira,L1,"[8316, 8240]",1º SEMESTRE
41951,AS,Análise de Sistemas,Ilídio Fernando de Castro Oliveira,L1,"[8316, 8240]",2º SEMESTRE
41952,AC-II,Arquitectura de Computadores II,José Luis Costa Pinto de Azevedo,L1,"[8309, 8316, 8321, 8240]",2º SEMESTRE
41953,PECI,Projeto em Engenharia de Computadores e Informática,José Manuel Matos Moreira,MI,"[8316, 8240]",ANUAL
41954,MCE,Mecânica e Campo Eletromagnético,Isabel Maria Coelho de Oliveira Malaquias,MI,"[8316, 8240]",1º SEMESTRE
41969,PMTM,Propriedades Mecânicas e Térmicas dos Materiais,Maria Georgina Macedo Miranda,L1,8327,2º SEMESTRE
41987,IEE,Introdução à Engenharia Eletrotécnica,José Luís Vieira Cura,MI,"[8309, 8321]",1º SEMESTRE
41988,P,Programação,Daniel Nunes Corujo,L1,"[8309, 8327, 8321]",1º SEMESTRE
41989,LE,Laboratório de Eletrónica,,MI,"[8309, 8321]",2º SEMESTRE
41990,AC,Análise de Circuitos,Ernesto Fernando Ventura Martins,MI,"[8309, 8321]",1º SEMESTRE
41991,EA,Eletrotecnia Aplicada,Fernanda de Oliveira Resende,L1,"[8309, 8321]",1º SEMESTRE
42062,PSFD,Projeto em Sistemas de Fabrico Digitais,Carlos Alberto Moura Relvas,M2,9163,1º SEMESTRE
42078,IC,Informação e Codificação,António José Ribeiro Neves,M2,"[9294, 8240, 9291, 8316, 8321, 9263]",1º SEMESTRE
42079,AAD,Arquiteturas de Alto Desempenho,Tomás António Mendes Oliveira e Silva,M2,"[8240, 9263, 8316, 8321, 9295, 9291]",1º SEMESTRE
42080,CM,Comunicações Móveis,Daniel Nunes Corujo,M2,"[8240, 8309, 8316, 8321, 9291]",1º SEMESTRE
42081,SOTR,Sistemas Operativos e de Tempo-real,Paulo Bacelar Reis Pedreiras,M2,"[8240, 9263, 8316, 9295, 9291]",1º SEMESTRE
42082,AC,Arquiteturas de Comunicação,Rui Luís Andrade Aguiar,MI,"[8316, 9291, 8240]",1º SEMESTRE
42083,RCIS,Redes Com Integração de Serviços,António Manuel Duarte Nogueira,M2,"[8309, 9295, 8321]",2º SEMESTRE
42084,CD,Comunicações Digitais,Paulo Miguel Nepomuceno Pereira Monteiro,MI,"[8309, 9295, 8321]",1º SEMESTRE
42085,EMOA,Engenharia de Micro-ondas e Antenas,Pedro Renato Tavares de Pinho,M2,"[8309, 9295, 8321]",1º SEMESTRE
42088,PI,Projeto Industrial,Pedro Nicolau Faria da Fonseca,M2,"[8309, 9295]",1º SEMESTRE
42138,TDW,Tecnologias e Desenvolvimento Web,Carlos Manuel das Neves Santos,M2,9263,1º SEMESTRE
42139,DCW,Design de Comunicação Web,Luís Nuno Coelho Dias,MI,"[9294, 8240]",1º SEMESTRE
42140,DAEU,Design e Avaliação de Experiência do Utilizador,Ana Rita Costa Bonifácio Selores dos Santos,M2,9263,1º SEMESTRE
42150,PRA,Produção e Realização Audiovisual,Hélder José Marques Caixinha,MI,8309,1º SEMESTRE
42192,EP,Elementos de Programação,Tomás António Mendes Oliveira e Silva,MI,"[9163, 8240]",1º SEMESTRE
42194,EAI,Elementos de Automação Industrial,Marco Paulo Soares dos Santos,M2,9163,1º SEMESTRE
42195,VC,Visão Por Computador,Paulo Miguel de Jesus Dias,MI,"[9294, 9283, 8240]",1º SEMESTRE
42196,FSO,Fundamentos de Sistemas Operativos,,M2,"[9294, 8309, 9163, 8321, 9295, 9263]",1º SEMESTRE
42201,TPJ,Tópicos de Programação para Jogos,Diogo Nuno Pereira Gomes,M2,"[8309, 9281, 9283, 9263]",1º SEMESTRE
42205,DP,Desenho de Personagens,,M2,"[8309, 9263]",1º SEMESTRE
42252,ESS,Engenharia de Sistemas de Satélite,Manuel de Jesus Ferreira Dinis,M2,"[8309, 9295]",1º SEMESTRE
42254,IEA,Introdução à Engenharia Aeroespacial,,L1,8327,1º SEMESTRE
42255,OMA,Ondas e Mecânica Aplicada,Vitor Hugo da Rosa Bonifácio,L1,8327,1º SEMESTRE
42255,OMA,Ondas e Mecânica Aplicada,,L1,8327,1º SEMESTRE
42256,TTC,Termodinâmica e Transferência de Calor,,L1,8327,1º SEMESTRE
42258,DEA,Design de Estruturas Aeroespaciais,,L1,8327,1º SEMESTRE
42259,SE,Sistemas Eletrónicos,,L1,8327,2º SEMESTRE
42280,FCD,Fundamentos de Ciência de Dados,,M2,9263,1º SEMESTRE
42282,CAA,Complementos de Aprendizagem Automática,,M2,9263,2º SEMESTRE
42283,ENN,Empreendedorismo e Novos Negócios,,MI,"[8240, 8309, 8316, 8321, 8327]",1º SEMESTRE
42284,GP,Gestão de Projetos,,L1,"[8240, 8309, 8316, 8321, 8327]",1º SEMESTRE
42288,DT,Design Thinking,,MI,"[8316, 8327, 8321, 8240]",1º SEMESTRE
42290,TCA,Técnicas de Comunicação e Apresentações,,MI,"[8240, 8309, 8316, 8321, 8327]",1º SEMESTRE
42291,E-I,Economia I,,MI,"[8240, 8309, 8316, 8321, 8327]",1º SEMESTRE
42292,FE,Finanças Empresariais,,L1,"[8321, 8316, 8327, 8240]",1º SEMESTRE
42294,MICSA,Microcontrololadores e Interação Com Sensores e Atuadores,,MI,"[8240, 8309, 8316, 8321, 8327]",2º SEMESTRE
42295,MDS,Materiais e Desenvolvimento Sustentável,,L1,"[8240, 8309, 8316, 8321, 8327]",2º SEMESTRE
42296,VD,Visualização de Dados,,MI,"[8240, 8309, 8316, 8321, 8327]",2º SEMESTRE
42297,ER,Energias Renováveis,,L1,"[8321, 8316, 8327, 8240]",2º SEMESTRE
42298,FAI3,Fabrico Aditivo e Impressão 3d,,L1,"[8321, 8316, 8327, 8240]",2º SEMESTRE
42299,IHC,Interação Humano-computador,,L1,"[8321, 8316, 8327, 8240]",2º SEMESTRE
42300,IMEF,Introdução Ao Método dos Elementos Finitos,,L1,"[8316, 8327, 8321, 8240]",2º SEMESTRE
42301,MS,Mobilidade Sustentável,,L1,"[8316, 8327, 8321]",2º SEMESTRE
42302,PW,Programação Web,,L1,"[8327, 8316, 8321, 8240]",2º SEMESTRE
42354,IO,Investigação Operacional,,MI,"[8240, 8309, 8316, 8321, 8327]",2º SEMESTRE
42502,IAC,Introdução à Arquitetura de Computadores,,L1,"[8295, 8316, 8327]",2º SEMESTRE
42509,so,Sistemas de Operação,,L1,"[8316, 8240]",1º SEMESTRE
42532,bd,Bases de Dados,,L1,"[8295, 8316, 8240]",2º SEMESTRE
42535,II,Informática Industrial,,M2,"[9163, 9294, 9283]",2º SEMESTRE
42573,sio,Segurança Informática e Nas Organizações,,L1,"[8295, 8316, 8240]",1º SEMESTRE
42596,RI,Recuperação de Informação,,M2,"[9283, 9263]",1º SEMESTRE
42606,A-I,Alemão I,,M2,9294,1º SEMESTRE
42607,A-II,Alemão II,,M2,9294,2º SEMESTRE
42709,ALGA,ALGA,,L1,"[8240, 8309, 8295, 8316, 8321, 8327]",1º SEMESTRE
42728,C-I,Cálculo I ,,L1,"[8240, 8309, 8295, 8316, 8321, 8327]",1º SEMESTRE
42729,C-II,Cálculo II ,,L1,"[8240, 8309, 8295, 8316, 8321, 8327]",2º SEMESTRE
42791,C-III,Cálculo III ,,L1,"[8309, 8295, 8327, 8321]",1º SEMESTRE
43310,TPR,Técnicas de Percepção de Redes,,M2,"[9281, 9291, 8240]",1º SEMESTRE
43312,RVA,Realidade Virtual e Aumentada,,MI,"[9294, 9283, 9263, 8240]",1º SEMESTRE
43313,RM,Robótica Móvel,,M2,9283,2º SEMESTRE
43370,LC-I,Língua Chinesa I,,M2,"[9281, 9263]",1º SEMESTRE
43447,SFP,Sistemas Flexíveis de Produção,,M2,"[9163, 9283]",1º SEMESTRE
43460,agr,Arquitectura e Gestão de Redes,,L1,8295,1º SEMESTRE
43948,E,Empreendedorismo,,L1,"[8295, 9163, 8240]",1º SEMESTRE
44139,CM,Computação Móvel,,M2,"[9281, 9263, 8240]",1º SEMESTRE
44153,sgr,Segurança e Gestão de Risco,,M2,"[9281, 9263]",2º SEMESTRE
44156,vi,Visualização de Informação,,MI,"[9281, 9283, 9263, 8240]",1º SEMESTRE
44158,ws,Web Semântica,,M2,"[9283, 9263]",2º SEMESTRE
45423,ICG,Introdução à Computação Gráfica,,L1,"[8295, 8316, 8240]",2º SEMESTRE
45424,ICM,Introdução à Computação Móvel,,L1,"[8295, 8316, 8240]",2º SEMESTRE
45426,TQS,Teste e Qualidade de Software,,L1,8295,2º SEMESTRE
45587,ED,Exploração de Dados,,M2,"[9163, 9283, 9263]",1º SEMESTRE
45628,AII,Análise e Interpretação de Imagem,,M2,"[8309, 9163, 9283, 9263]",1º SEMESTRE
45656,thier,Teoria e História da Integração Europeia e Regional,,M2,9281,1º SEMESTRE
45658,epp,Europa e Políticas de População,,MI,8309,1º SEMESTRE
45660,gd,Governo Digital,,M2,9263,1º SEMESTRE
45733,gip,Gestão Integrada de Projectos,,MI,"[8309, 8295]",1º SEMESTRE
45916,adpe,Análise de Dados e Planeamento Experimental,,MI,8240,1º SEMESTRE
46402,ms,Mecânica dos Sólidos,,L1,8327,2º SEMESTRE
46441,LIT,Laboratório de Internacionalização em Turismo,,MI,"[9263, 8240]",1º SEMESTRE
46445,mc,Mecânica Computacional,,M2,9294,1º SEMESTRE
46456,MED,Marketing e Estratégias Digitais,,MI,"[9263, 8240]",1º SEMESTRE
46504,tac,Tecnologias de Accionamento e Comando,,M2,9163,1º SEMESTRE
46526,CNC,Comando Numérico Por Computador,,M2,9163,1º SEMESTRE
46660,ES,Educação para a Sustentabilidade,,M2,9295,1º SEMESTRE
46873,ef,Estudos de Fotografia,,MI,8240,1º SEMESTRE
47053,CV,Computação Visual,,M2,"[9291, 9263, 8240]",1º SEMESTRE
47134,iaps,Introdução à Análise e Processamento de Sinal,,MI,"[8309, 8321]",2º SEMESTRE
47138,IEI,Introdução à Engenharia Informática,,MI,"[8316, 8240]",1º SEMESTRE
47166,MD,Matemática Discreta,,L1,"[8295, 8316, 8240]",2º SEMESTRE
47169,mc,Mecânica Clássica,,L1,8327,1º SEMESTRE
47171,MO,Mecânica e Oscilações,,L1,"[8309, 8321]",2º SEMESTRE
47237,spt,Simulação de Processos Tecnológicos,,M2,9294,1º SEMESTRE
47268,to,Teoria das Organizações,,L1,8316,2º SEMESTRE
47280,ge,Genética e Evolução,,L1,8295,1º SEMESTRE
47460,ad,Análise de Dados,,L1,8321,1º SEMESTRE
47475,AGP,Avaliação e Gestão de Projectos,,MI,8309,1º SEMESTRE
47501,CR,Computação Reconfigurável,,M2,"[9291, 8316, 8240]",2º SEMESTRE
47527,dpidt,Desenvolvimento e Planeamento Integrado de Destinos Turísticos,,MI,8240,1º SEMESTRE
47553,ece,Empreendedorismo e Criação de Empresas,,MI,"[8309, 8240]",1º SEMESTRE
47573,em,Estatística Multivariada,,M2,9263,1º SEMESTRE
47576,ec,Estratégia e Competitividade,,MI,8309,1º SEMESTRE
47610,ge,Gestão de Energia,,L1,8321,1º SEMESTRE
47634,i,Inglês I,,M2,9263,1º SEMESTRE
47677,mif,Mercados e Instrumentos Financeiros,,M2,"[9281, 9294, 8240]",1º SEMESTRE
47691,MIO,Métodos de Investigação Operacional,,M2,9294,1º SEMESTRE
47705,mpn,Modelos e Processos de Negócio,,MI,"[8309, 9295]",1º SEMESTRE
47739,per,Política Energética e Regulação,,MI,8309,1º SEMESTRE
47789,rpc,Relações Político-culturais,,MI,8309,1º SEMESTRE
47793,ri,Robótica Industrial,,M2,"[9163, 9283]",1º SEMESTRE
47800,s,Servomecanismos,,M2,9163,1º SEMESTRE
47810,svpi,Sistemas de Visão e de Percepção Industrial,,M2,"[9163, 9294, 9283]",2º SEMESTRE
47814,se,Sociologia da Educação,,M2,9281,1º SEMESTRE
47837,tc,Teoria da Computação,,MI,"[9263, 8240]",1º SEMESTRE
47884,gqs,Gestão da Qualidade em Serviços,,MI,8309,1º SEMESTRE
47934,hcl,História e Cultura do Livro,,M2,9263,1º SEMESTRE
47975,RSI,Redes e Serviços em Imagiologia,,L1,"[8295, 9263, 8240]",1º SEMESTRE
47977,csf,Comunicações Sem Fios,,M2,"[8309, 9295]",2º SEMESTRE
47978,ebp,Electrónica de Baixa Potência,,MI,"[8309, 9295]",1º SEMESTRE
48104,n,Neurobiologia,,M2,9294,1º SEMESTRE
49903,,49903-S_9916 Seminário - Nanociências e Nanotecnologia,,MI,"[9281, 9283, 9291, 8240]",1º SEMESTRE
49983,PEE,Projecto em Engenharia Electrotécnica,,MI,"[8309, 8321]",ANUAL
81156,CCA,Competências Comunicacionais Aplicadas,,L1,8295,1º SEMESTRE
81485,IF,Investimentos Financeiros,,MI,"[8309, 9281, 9163]",1º SEMESTRE
81512,ACP,Análise e Controlo de Projetos,,L1,8316,1º SEMESTRE
81547,TAD,Técnicas de Análise de Dados,,L1,8295,2º SEMESTRE
82130,ME,Marketing Estratégico,,M2,9163,1º SEMESTRE
82504,CC,Comportamento do Consumidor,,M2,9281,1º SEMESTRE
84314,GMCD,Gestão Marketing e Comunicação Digital,,MI,8240,1º SEMESTRE
84319,PW,Programação Web,,MI,8240,1º SEMESTRE
